Time, Amount
3,68
3,22
3,89
3,10
3,0
3,14
3,25
4,78
4,73
3,82
3,45
4,49
4,15
4,22
4,92
4,78
4,36
4,79
4,51
4,65
4,18
4,77
5,96
5,33
5,89
5,53
4,77
4,93
4,75
4,14
4,47
4,97
4,57
8,79
8,82
8,39
8,30
8,11
8,46
7,67
7,78
8,2
8,88
8,87
8,80
8,27
8,16
8,13
8,2
8,68
8,22
8,55
8,77
8,31
8,89
8,59
8,10
8,0
8,91
8,0
8,93
8,14
8,18
8,25
7,73
9,78
9,73
9,82
9,73
9,45
9,56
9,57
9,9
9,27
8,41
8,66
8,49
8,15
8,60
8,22
8,92
8,92
8,78
8,24
8,36
8,79
8,51
8,90
8,78
8,65
8,18
8,77
8,77
8,65
7,23
8,57
8,73
9,18
9,5
9,59
9,50
9,77
9,8
9,7
9,80
9,77
9,56
9,39
9,44
9,84
9,28
9,82
9,12
9,33
9,96
9,89
9,53
9,77
9,93
9,14
9,75
9,47
9,97
6,57
6,91
6,79
6,82
6,30
6,39
6,30
6,35
6,46
6,52
6,11
6,53
6,67
6,93
6,30
6,74
7,78
6,2
6,88
6,87
6,80
6,27
6,56
6,16
6,13
6,2
6,68
6,22
6,55
6,77
6,31
6,89
6,59
6,10
6,0
6,91
7,0
8,93
8,14
8,18
8,25
6,73
6,78
6,73
6,82
6,73
6,45
6,56
6,57
6,9
6,27
6,41
6,66
6,49
6,15
6,60
6,22
6,92
6,92
6,78
6,24
6,36
6,79
6,51
6,90
6,78
6,65
6,18
6,77
6,77
6,65
7,23
6,57
5,73
5,18
5,5
5,59
5,50
5,77
5,8
5,7
5,80
5,77
5,56
5,39
5,44
5,84
5,28
5,82
5,12
5,33
6,96
6,89
6,53
6,77
6,93
6,14
6,75
6,47
5,97
5,57
5,91
5,79
6,82
6,30
6,39
6,30
6,35
6,46
6,52
6,11
6,53
6,67
6,93
6,30
6,74
5,78
5,2
5,88
5,87
5,80
5,27
5,56
5,16
5,13
5,2
5,68
5,22
5,55
5,31
5,77
5,89
5,59
5,10
5,0
4,91
4,0
3,93
3,14
3,18
3,25
3,73
3,78
3,73
3,82
3,73
3,45
3,56
3,57
3,9
3,27
3,41
3,66
3,49
3,15
3,60
3,22
3,92
3,92
3,78
3,24
3,36
3,79
3,51
3,90
5,78
5,65
5,18
5,77
5,77
4,65
4,23
4,57
4,73
4,18
4,5
4,59
4,50
4,77
4,8
4,7
4,80
4,77
4,56
4,39
4,44
4,84
4,28
4,82
4,12
3,33
3,96
3,89
3,53
3,77
3,93
3,14
3,75
3,47
3,97
3,57
3,91
3,79
2,82
2,30
2,39
2,30
2,35
2,46
2,52
3,11
3,53
3,67
3,93
3,30
3,74
3,78
3,2
3,88
3,87
3,80
3,27
3,56
3,16
3,13
3,2
3,68
3,22
3,55
3,31
3,77
3,89
3,59
3,10
3,0
3,91
3,0
3,93
3,14
3,18
3,25
3,73
3,78
3,73
3,82
3,73
3,45
3,56
3,57
3,9
3,27
3,41
3,66
3,49
3,15
3,60
3,22
3,92
3,92
3,78
3,24
3,36
3,79
3,51
3,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
2,77
2,93
2,14
2,75
2,47
2,97
2,57
2,91
2,79
2,82
2,30
2,39
2,30
2,35
2,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
1,73
1,45
1,56
1,57
1,9
1,27
1,41
1,66
1,49
1,15
1,60
1,22
1,92
1,92
1,78
1,24
1,36
1,79
1,51
1,90
2,78
2,65
2,18
2,77
2,77
2,65
2,23
2,57
2,73
2,18
2,5
2,59
2,50
2,77
2,8
2,7
2,80
2,77
2,56
2,39
2,44
2,84
2,28
2,82
2,12
2,33
2,96
2,89
2,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
2,77
2,89
2,59
2,10
2,0
2,91
2,0
2,93
2,14
2,18
2,25
2,73
2,78
2,73
2,82
2,73
2,45
2,56
2,57
2,9
2,27
2,41
2,66
2,49
2,15
2,60
2,22
2,92
2,92
2,78
2,24
2,36
2,79
2,51
2,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
2,46
2,52
2,11
2,53
2,67
2,93
2,30
2,74
2,78
2,2
2,88
2,87
2,80
2,27
2,56
2,16
2,13
2,2
2,68
2,22
2,55
2,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
1,73
1,45
1,56
1,57
1,9
1,27
1,41
1,66
1,49
1,15
1,60
1,22
1,92
1,92
1,78
1,24
1,36
1,79
1,51
2,90
2,78
2,65
2,18
2,77
2,77
2,65
2,23
2,57
2,73
2,18
2,5
2,59
2,50
2,77
2,8
2,7
2,80
2,77
2,56
2,39
2,44
2,84
2,28
2,82
2,12
2,33
2,96
2,89
2,53
2,77
2,93
2,14
2,75
2,47
2,97
2,57
2,91
2,79
2,82
2,30
2,39
2,30
2,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
1,73
1,45
1,56
1,57
1,9
1,27
1,41
1,66
1,49
1,15
1,60
1,22
1,92
1,92
1,78
1,24
1,36
1,79
1,51
0,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
1,73
1,45
1,56
1,57
1,9
1,27
1,41
1,66
1,49
1,15
1,60
1,22
1,92
2,92
2,78
2,24
2,36
2,79
2,51
2,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
2,73
2,45
2,56
2,57
2,9
2,27
2,41
2,66
2,49
2,15
2,60
2,22
2,92
1,92
1,78
1,24
1,36
1,79
1,51
1,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
0,73
0,45
0,56
0,57
0,9
0,27
1,41
1,66
1,49
1,15
1,60
1,22
1,92
1,92
1,78
1,24
1,36
1,79
1,51
1,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
1,73
1,45
1,56
1,57
1,9
1,27
0,41
0,66
0,49
0,15
0,60
0,22
0,92
0,92
0,78
1,24
1,36
1,79
1,51
1,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
2,73
2,45
2,56
2,57
2,9
2,27
2,41
2,66
2,49
2,15
2,60
2,22
2,92
2,92
2,78
1,24
1,36
1,79
1,51
1,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
2,59
2,10
2,0
2,91
2,0
2,93
2,14
2,18
2,25
2,73
2,78
2,73
2,82
1,73
1,45
1,56
1,57
1,9
1,27
1,41
1,66
1,49
1,15
1,60
1,22
1,92
1,92
1,78
1,24
1,36
1,79
1,51
1,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
1,11
1,53
1,67
1,93
1,30
1,74
2,78
2,2
2,88
2,87
2,80
2,27
2,56
2,16
2,13
2,2
2,68
2,22
2,55
2,31
2,77
2,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
1,73
1,45
1,56
1,57
1,9
1,27
1,41
1,66
1,49
1,15
1,60
1,22
1,92
1,92
1,78
1,24
1,36
1,79
1,51
1,90
1,78
1,65
1,18
1,77
1,77
1,65
1,23
1,57
1,73
1,18
1,5
1,59
1,50
1,77
1,8
1,7
1,80
1,77
1,56
1,39
1,44
1,84
1,28
1,82
1,12
1,33
1,96
1,89
1,53
1,77
1,93
1,14
1,75
1,47
1,97
1,57
1,91
1,79
1,82
1,30
1,39
1,30
1,35
1,46
1,52
2,11
2,53
2,67
2,93
2,30
2,74
1,78
1,2
1,88
1,87
1,80
1,27
1,56
1,16
1,13
1,2
1,68
1,22
1,55
1,31
1,77
1,89
1,59
1,10
1,0
1,91
1,0
1,93
1,14
1,18
1,25
1,73
1,78
1,73
1,82
1,73
1,45
1,56
1,57
1,9
1,27
1,41
1,66
