Time, Amount
0,46
0,46
0,46
0,46
1,46
1,73
0,46
0,73
1,46
0,73
0,9
0,46
1,37
1,37
1,72
1,73
1,9
1,63
1,97
0,46
0,37
0,37
0,14
0,72
0,73
1,9
1,63
1,97
1,46
1,37
1,37
1,14
1,72
1,73
0,9
0,69
0,14
0,3
0,16
4,75
4,79
4,63
4,97
4,3
4,46
4,37
4,60
4,37
5,14
5,72
5,69
5,73
5,9
5,39
5,69
5,32
5,14
5,96
5,3
5,16
1,36
1,88
1,75
1,81
1,79
1,32
1,75
1,49
1,51
3,20
3,1
3,63
3,87
3,97
3,30
3,25
3,59
3,99
3,7
3,35
3,3
3,95
3,9
3,25
3,64
3,91
3,63
3,37
3,89
3,46
3,99
3,71
3,60
3,42
3,89
3,87
3,81
3,27
3,52
3,57
4,92
5,21
5,39
5,82
5,89
5,9
5,15
5,37
4,50
4,39
4,20
4,78
4,9
4,61
4,14
4,14
4,61
4,12
4,14
4,12
4,76
4,98
4,91
4,57
4,72
4,53
4,49
4,82
4,79
5,8
5,63
5,94
5,51
5,69
5,7
5,69
5,1
5,35
5,73
5,85
5,72
5,71
5,9
5,43
5,39
5,34
5,44
6,90
6,69
6,90
6,0
6,49
6,98
6,71
6,32
6,39
6,14
6,96
6,3
6,16
6,36
6,88
6,75
6,81
6,79
7,32
7,75
8,49
8,51
6,20
6,1
6,63
6,87
6,97
6,30
6,25
6,59
6,99
6,7
6,35
6,3
6,95
6,9
6,25
6,64
6,91
6,63
6,37
6,89
6,46
6,99
6,71
6,60
6,42
6,89
6,87
6,81
6,27
6,52
5,92
6,57
5,21
5,39
5,82
5,89
5,9
5,15
5,37
5,50
5,39
5,20
5,78
5,9
5,61
5,14
5,14
5,61
5,12
5,14
5,12
5,76
5,98
6,91
6,57
6,72
6,53
6,49
6,82
6,79
5,8
5,63
5,94
5,51
5,69
5,7
6,69
6,1
6,35
6,73
6,85
6,72
6,71
6,9
6,43
6,39
6,34
6,44
5,90
5,69
5,90
5,0
5,49
5,98
5,71
5,32
5,39
5,14
5,96
5,3
5,36
5,16
5,88
5,75
5,81
5,79
4,32
3,75
3,49
3,51
3,20
3,1
3,63
3,87
3,97
3,30
3,25
3,59
3,99
3,7
3,35
3,3
3,95
3,9
3,25
3,64
3,91
3,63
3,37
3,89
3,46
3,99
3,71
3,60
3,42
3,89
5,87
5,81
5,27
5,52
5,92
4,57
4,21
4,39
4,82
4,89
4,9
4,15
4,37
4,50
4,39
4,20
4,78
4,9
4,61
4,14
4,14
4,61
4,12
4,14
4,12
4,76
4,98
3,91
3,57
3,72
3,53
3,49
3,82
3,79
3,8
3,63
3,94
3,51
3,69
2,7
2,69
2,1
2,35
2,73
2,85
2,72
2,71
2,9
3,43
3,39
3,34
3,44
3,90
3,69
3,90
3,0
3,49
3,98
3,71
3,32
3,39
3,14
3,96
3,3
3,36
3,16
3,88
3,75
3,81
3,79
3,32
3,75
3,49
3,51
3,20
3,1
3,63
3,87
3,97
3,30
3,25
3,59
3,99
3,7
3,35
3,3
3,95
3,9
3,25
3,64
3,91
3,63
3,37
3,89
3,46
3,99
3,71
3,60
3,42
1,89
1,87
1,81
1,27
1,52
1,92
1,57
1,21
1,39
1,82
1,89
1,9
1,15
1,37
1,50
1,39
1,20
1,78
1,9
1,61
1,14
1,14
1,61
1,12
1,14
1,12
1,76
1,98
1,91
1,57
1,72
1,53
2,49
2,82
2,79
2,8
2,63
2,94
2,51
2,69
2,7
2,69
2,1
2,35
2,73
2,85
2,72
2,71
2,9
1,43
1,39
1,34
1,44
1,90
1,69
1,90
1,0
1,49
1,98
1,71
1,32
1,39
1,14
1,96
1,3
1,36
1,16
1,88
1,75
1,81
1,79
1,32
1,75
1,49
1,51
1,20
1,1
1,63
1,87
1,97
1,30
1,25
1,59
1,99
1,7
1,35
1,3
1,95
1,9
1,25
1,64
1,91
1,63
1,37
1,89
1,46
1,99
1,71
1,60
1,42
1,89
1,87
2,81
2,27
2,52
2,92
2,57
2,21
2,39
2,82
2,89
2,9
2,15
2,37
2,50
2,39
2,20
2,78
2,9
2,61
2,14
2,14
2,61
2,12
2,14
2,12
2,76
2,98
2,91
2,57
2,72
2,53
1,49
1,82
1,79
1,8
1,63
1,94
1,51
1,69
1,7
1,69
1,1
1,35
1,73
1,85
1,72
1,71
1,9
1,43
1,39
1,34
1,44
1,90
1,69
1,90
1,0
1,49
1,98
1,71
1,32
1,39
1,14
1,96
1,3
1,36
1,16
1,88
1,75
2,81
2,79
2,32
2,75
2,49
2,51
2,20
2,1
2,63
2,87
2,97
2,30
2,25
2,59
2,99
2,7
2,35
2,3
2,95
2,9
2,25
2,64
2,91
2,63
2,37
2,89
2,46
2,99
2,71
2,60
2,42
2,89
2,87
1,81
1,27
1,52
1,92
1,57
1,21
1,39
1,82
1,89
1,9
1,15
1,37
1,50
1,39
1,20
1,78
1,9
1,61
1,14
1,14
1,61
1,12
1,14
1,12
1,76
1,98
1,91
1,57
1,72
1,53
1,49
1,82
1,79
1,8
1,63
1,94
1,51
1,69
1,7
1,69
1,1
1,35
1,73
1,85
1,72
1,71
1,9
1,43
2,39
2,34
2,44
2,90
2,69
2,90
2,0
2,49
2,98
2,71
2,32
2,39
2,14
2,96
2,3
2,36
2,16
2,88
2,75
1,81
1,79
1,32
1,75
1,49
1,51
1,20
1,1
1,63
1,87
1,97
1,30
1,25
1,59
1,99
1,7
1,35
1,3
1,95
1,9
1,25
1,64
1,91
1,63
1,37
1,89
1,46
1,99
1,71
1,60
1,42
1,89
1,87
2,81
2,27
2,52
2,92
2,57
2,21
2,39
2,82
2,89
2,9
2,15
2,37
2,50
2,39
2,20
2,78
2,9
2,61
2,14
2,14
2,61
2,12
2,14
2,12
2,76
2,98
2,91
2,57
2,72
2,53
2,49
2,82
2,79
2,8
2,63
2,94
2,51
2,69
2,7
2,69
2,1
2,35
2,73
2,85
2,72
2,71
2,9
2,43
1,39
1,34
1,44
1,90
1,69
1,90
1,0
1,49
1,98
1,71
1,32
1,39
1,14
1,96
1,3
1,36
1,16
1,88
1,75
1,81
1,79
1,32
1,75
1,49
1,51
1,20
1,1
1,63
1,87
1,97
1,30
1,25
1,59
1,99
1,7
1,35
1,3
1,95
1,9
1,25
1,64
1,91
1,63
1,37
1,89
1,46
1,99
1,71
1,60
1,42
1,89
0,87
0,81
1,27
1,52
1,92
1,57
1,21
1,39
1,82
1,89
1,9
1,15
1,37
1,50
1,39
1,20
1,78
1,9
1,61
1,14
1,14
1,61
1,12
1,14
1,12
1,76
1,98
1,91
1,57
1,72
1,53
1,49
1,82
1,79
1,8
1,63
1,94
1,51
1,69
1,7
1,69
1,1
1,35
1,73
1,85
1,72
1,71
1,9
1,43
1,39
1,34
1,44
1,90
1,69
1,90
1,0
1,49
1,98
1,71
1,32
1,39
1,14
1,96
1,3
1,36
1,16
1,88
1,75
1,81
1,79
1,32
1,75
1,49
1,51
1,20
1,1
1,63
1,87
1,97
1,30
1,25
1,59
1,99
1,7
1,35
1,3
1,95
1,9
1,25
1,64
1,91
1,63
1,37
1,89
1,46
1,99
1,71
2,60
2,42
2,89
2,87
1,81
1,27
1,52
1,92
1,57
1,21
1,39
1,82
1,89
1,9
1,15
1,37
1,50
1,39
1,20
1,78
1,9
1,61
1,14
1,14
1,61
1,12
1,14
1,12
1,76
1,98
1,91
1,57
1,72
1,53
1,49
1,82
1,79
1,8
1,63
1,94
1,51
1,69
1,7
1,69
1,1
1,35
1,73
1,85
1,72
1,71
1,9
1,43
1,39
1,34
1,44
1,90
1,69
1,90
1,0
1,49
1,98
1,71
1,32
1,39
1,14
1,96
1,3
1,36
1,16
1,88
1,75
1,81
1,79
1,32
1,75
1,49
1,51
1,20
1,1
1,63
1,87
1,97
1,30
1,25
1,59
1,99
1,7
1,35
2,3
2,95
2,9
2,25
2,64
2,91
2,63
2,37
2,89
2,46
2,99
1,71
1,60
1,42
1,89
1,87
1,81
1,27
1,52
1,92
1,57
1,21
1,39
1,82
1,89
1,9
1,15
1,37
1,50
1,39
1,20
1,78
1,9
1,61
1,14
1,14
1,61
1,12
1,14
1,12
1,76
1,98
1,91
1,57
1,72
1,53
1,49
1,82
1,79
1,8
1,63
1,94
1,51
1,69
1,7
1,69
1,1
1,35
1,73
1,85
1,72
1,71
1,9
1,43
1,39
1,34
1,44
1,90
1,69
1,90
1,0
1,49
1,98
1,71
1,32
1,39
1,14
1,96
1,3
1,36
1,16
1,88
1,75
1,81
1,79
1,32
1,75
1,49
1,51
1,20
1,1
1,63
1,87
1,97
1,30
1,25
1,59
1,99
1,7
1,35
0,3
0,95
0,9
0,25
0,64
0,91
0,63
0,37
1,89
1,46
1,99
1,71
1,60
1,42
1,89
1,87
1,81
1,27
1,52
1,92
1,57
1,21
1,39
1,82
1,89
1,9
1,15
1,37
1,50
1,39
1,20
1,78
1,9
1,61
1,14
1,14
1,61
1,12
1,14
1,12
1,76
1,98
1,91
1,72
1,53
1,49
1,57
1,82
1,79
1,8
1,63
1,94
1,51
1,69
1,7
1,69
1,1
1,35
1,73
1,85
1,72
1,71
1,9
1,43
1,39
1,34
1,44
1,90
1,69
1,90
1,0
1,49
1,98
1,71
1,32
1,39
1,14
1,96
1,3
1,36
1,16
1,88
1,75
1,81
1,79
1,32
1,75
1,49
1,51
1,20
1,1
1,63
1,87
1,97
1,30
1,25
1,59
1,99
1,7
1,35
1,3
1,95
1,9
1,25
1,64
1,91
1,63
1,37
0,89
0,46
0,99
0,71
0,60
0,42
0,89
0,87
1,81
1,27
1,52
1,92
1,57
1,21
1,39
1,82
1,89
1,9
1,15
1,37
1,50
1,39
1,20
1,78
1,9
1,61
1,14
1,14
1,61
1,12
1,14
1,12
1,76
1,98
1,91
1,72
1,53
1,49
1,57
1,82
1,79
1,8
1,63
1,94
1,51
1,69
1,7
1,69
1,1
1,35
1,73
1,85
1,72
1,71
1,9
1,43
1,39
1,34
1,44
1,90
1,69
1,90
1,0
1,49
1,98
1,71
1,32
1,39
1,14
1,96
1,3
1,36
1,16
1,88
1,75
1,81
1,79
1,32
1,75
1,49
1,51
1,20
1,1
1,63
1,87
1,97
1,30
1,25
1,59
1,99
1,7
1,35
1,3
1,95
1,9
2,25
2,64
2,91
2,63
2,37
2,89
2,46
2,99
2,71
2,60
2,42
2,89
1,87
1,81
1,27
1,52
1,92
1,57
1,21
1,39
1,82
1,89
1,9
1,15
1,37
1,50
1,39
1,20
1,78
1,9
1,61
1,14
1,14
