Time, Amount
23,56
22,44
23,31
24,23
24,19
30,80
30,21
31,24
38,38
38,42
38,2
38,65
93,85
93,71
93,66
93,19
93,54
92,25
91,15
91,11
88,50
88,40
87,73
87,94
87,90
87,77
87,34
87,16
87,85
87,34
87,62
86,7
86,17
86,28
86,18
84,67
85,16
85,34
85,10
85,85
85,58
85,44
85,25
85,97
85,2
85,52
85,73
85,63
85,99
85,36
85,99
85,58
84,7
84,15
84,30
84,26
84,70
84,55
84,98
84,92
84,89
84,87
84,51
84,36
84,28
84,35
84,68
84,26
83,38
83,4
83,77
83,73
84,55
84,73
84,8
84,72
84,72
84,83
84,94
84,78
84,30
84,31
84,85
84,61
84,21
84,76
83,53
83,52
83,89
83,99
83,36
83,24
83,69
83,87
83,1
83,21
83,56
83,75
83,48
83,19
83,38
83,0
83,53
83,69
83,74
83,17
83,66
83,81
82,79
82,97
82,41
82,8
82,0
82,96
82,38
82,70
82,33
82,49
82,18
82,40
82,89
83,50
83,27
82,90
82,45
82,56
82,72
81,0
81,63
81,54
81,14
80,3
80,4
80,64
80,34
80,29
80,17
80,63
79,31
79,25
79,3
79,23
79,63
79,43
79,71
79,82
79,32
79,20
79,16
79,15
79,43
79,69
79,12
79,51
79,24
79,69
78,56
78,68
78,6
79,74
79,45
78,24
78,23
75,10
71,55
71,64
70,22
70,18
68,99
68,44
67,4
67,29
67,52
67,54
67,45
67,57
67,46
67,45
67,68
67,96
67,2
62,19
59,54
61,94
60,56
60,83
60,60
60,34
60,52
60,8
7,30
7,24
6,49
6,67
7,78
7,85
7,35
7,0
7,3
7,28
7,27
7,53
7,83
7,24
6,62
6,44
6,10
7,95
7,71
7,89
7,56
7,78
6,16
6,46
6,48
6,14
6,71
6,35
6,65
6,63
5,73
5,63
4,28
4,0
4,38
4,11
2,73
2,20
2,99
2,29
1,31
1,8
1,97
1,32
1,97
1,23
1,58
1,30
1,19
1,89
0,4
0,71
73,30
73,76
73,89
73,15
73,18
73,3
73,10
73,52
73,34
73,17
73,53
70,55
73,36
73,52
73,92
71,25
68,30
68,58
68,8
68,87
68,0
68,28
68,85
65,29
65,78
65,0
65,98
64,85
60,63
57,56
57,54
57,94
57,34
54,4
51,16
51,43
51,72
51,15
48,58
48,4
46,38
46,8
44,94
44,66
44,2
41,12
41,36
41,22
41,40
41,49
41,82
41,68
39,51
39,38
39,97
39,0
39,85
39,73
39,57
39,87
39,99
39,51
39,15
39,69
39,53
39,60
39,22
39,50
39,33
39,81
36,28
36,13
36,55
36,23
36,8
36,46
36,86
36,24
36,65
36,80
36,38
36,4
36,29
36,0
36,22
36,75
36,80
36,43
36,76
36,56
36,34
36,40
36,87
36,35
36,15
36,35
36,15
36,96
36,35
36,10
36,14
36,29
36,6
36,27
36,51
37,86
37,14
37,9
37,19
37,99
37,22
37,51
37,18
37,15
37,74
37,16
37,49
37,28
37,16
37,64
37,83
35,46
35,15
35,93
35,13
35,45
35,12
35,62
34,42
34,32
34,91
34,9
34,89
34,55
34,0
34,88
34,19
34,57
34,75
34,67
34,26
34,34
34,61
34,56
34,19
34,27
34,21
34,54
34,71
34,41
34,82
34,83
34,6
34,9
34,16
34,24
34,31
34,18
34,38
34,45
34,55
34,92
34,42
34,46
34,80
34,14
34,32
34,5
34,18
34,77
32,71
32,72
32,52
32,45
32,81
32,28
32,24
32,64
32,20
32,32
32,66
32,57
32,25
32,31
32,25
32,19
32,73
32,4
32,58
32,43
32,60
32,75
32,99
32,45
32,96
32,6
32,51
32,22
33,31
33,10
33,72
33,8
33,55
33,32
33,76
33,21
33,35
33,41
33,87
33,73
33,52
33,97
33,8
33,54
33,39
33,45
33,61
33,43
32,41
32,34
30,65
30,43
30,20
30,45
30,38
30,3
30,59
30,26
30,79
30,43
30,24
30,89
30,62
30,8
30,20
30,24
30,72
30,92
30,36
30,20
30,47
30,88
30,47
30,21
30,10
30,6
30,18
30,4
30,93
30,61
30,60
30,47
30,45
30,85
30,35
30,85
30,19
30,64
30,83
30,65
30,85
30,86
