Time, Amount
0,18
0,99
0,99
0,83
1,53
0,59
0,63
0,26
0,0
0,73
0,99
0,50
0,6
0,63
0,91
0,24
0,60
0,86
0,26
0,32
0,82
0,71
0,45
0,3
0,53
0,80
0,51
0,10
0,90
0,28
0,81
1,18
1,27
1,82
1,11
1,3
1,32
1,70
1,34
1,26
1,61
1,39
0,80
0,63
0,12
0,96
0,7
0,66
0,29
0,97
0,39
0,42
0,12
0,35
0,8
0,80
0,30
0,66
0,92
0,40
0,86
0,63
0,62
0,78
0,77
0,33
0,13
0,83
1,81
1,63
1,45
1,72
1,56
1,58
0,4
0,38
0,50
0,19
0,39
0,80
0,91
0,45
0,36
0,12
0,51
0,97
0,52
0,53
0,8
0,22
0,26
0,99
0,55
0,38
0,43
0,43
0,8
0,88
0,28
0,7
0,12
0,31
0,72
0,28
0,41
0,80
0,47
0,40
0,25
0,15
0,34
0,14
0,20
0,25
0,93
0,91
0,55
0,85
0,59
0,44
0,96
0,68
1,99
1,57
1,16
1,73
1,45
1,44
1,83
1,31
1,4
1,87
1,57
1,1
1,24
1,89
1,18
1,91
1,15
1,40
1,91
1,11
1,55
1,61
0,38
0,74
0,88
0,87
0,84
0,9
0,71
0,64
0,3
0,31
0,53
0,82
0,91
0,69
0,19
0,15
0,1
0,67
0,3
0,88
0,1
0,83
0,5
0,84
0,33
0,21
0,80
0,50
0,95
0,5
0,63
0,37
0,21
0,33
0,34
0,3
0,63
0,91
0,11
0,4
0,44
0,17
0,65
0,99
0,65
1,93
0,80
0,18
0,53
0,38
0,50
0,31
0,87
0,56
0,25
0,37
1,74
1,23
1,88
1,98
1,88
1,7
1,36
1,95
1,38
1,94
1,35
1,16
1,29
1,80
1,64
1,75
1,30
1,91
1,2
1,91
1,97
1,97
1,72
1,55
1,43
1,93
1,49
1,83
89,77
89,21
89,69
89,96
89,41
89,46
93,94
93,80
94,20
93,50
78,14
78,42
78,8
78,13
78,71
78,70
78,36
78,46
78,61
78,67
78,39
78,98
78,34
78,80
78,88
78,97
78,21
78,66
78,86
78,91
78,22
78,37
78,81
78,43
78,97
78,24
78,24
78,19
78,91
